"event number",name,description,date,city,state,url,pdf,permits,champs,competitions
1829,"Boulder Orthopedics Crit @ Table Mountain",,07/02/2016,Golden,CO,,,,N,
1844,"Sunshine HillClimb",,07/09/2016,Boulder,CO,,,,N,
1845,"30th Annual Longmont Criterium",,07/10/2016,Longmont,CO,,,,N,
1846,"Salida Classic -TT",,07/15/2016,Salida,CO,www.withoutlimits.co,,,N,
1847,"Salida Classic - Criterium",,07/16/2016,Salida,CO,www.withoutlimits.co,,,N,
1848,"Salida Classic Road Race - CO Master RR Championships                                                                    ",,07/17/2016,Salida,CO,www.withoutlimits.co,,,Y,
1849,"Bob Cook Mem'l Mt Evans HC- CO HC Championships",,07/23/2016,"Idaho Springs",CO,,,,Y,
1850,"Mike Nields Mem'l Bannock St Crit - CO Jr Crit Championships",,07/31/2016,Denver,CO,,,,Y,
1851,"Littleton Twilight Criterium",,08/06/2016,Littleton,CO,,,,N,
1865,"John Stenner Mem'l - CO Time Trial Championships",,08/07/2016,TBD,CO,,,,Y,
1852,"Belleview Dental Classic ",,08/14/2016,TBD,CO,,,,N,
1853,"Lucky Pie Criterium -  CO Master Crit Championships",,08/21/2016,Louisville,CO,,,,Y,
1855,"CBL Lookout Mountain HC ",,08/27/2016,Golden,CO,,,,N,
1860,"Lafayette Criterium",,08/28/2016,Lafayette,CO,,,,N,
1856,"Steamboat Springs Stage Race - Circuit Race (SMP 1-2, SM 3, SW P-1-2)",,09/02/2016,"Steamboat Springs",CO,,,,N,
1857,"Steamboat Springs Stage Race - TT",,09/03/2016,"Steamboat Springs",CO,,,,N,
1862,"Steamboat Springs Stage Race - RR",,09/04/2016,"Steamboat Springs",CO,,,,N,
1858,"Steamboat Springs Stage Race - GC",,09/05/2016,"Steamboat Springs",CO,,,,N,
1859,"Steamboat Springs Stage Race - Crit",,09/05/2016,"Steamboat Springs",CO,,,,N,
